STATE,COUNTYNAME,shapefile_latitude,shapefile_longitude,nc_latitude,nc_longitude,population_projection_2020
MO,Newton,36.90551351148112,-94.33923459295217,36.93750000025,-94.31249999990001,2801.0
MO,Nodaway,40.36072920537553,-94.88343466129555,40.31250000025,-94.93749999990001,427.0
MO,Oregon,36.68670254780558,-91.40331038010856,36.68750000025,-91.43749999990001,600.0
MO,Osage,38.46035184519205,-91.86183875916082,38.43750000025,-91.81249999990001,1915.0
MO,Ozark,36.649321564191595,-92.44458537356061,36.68750000025,-92.43749999990001,831.0
MO,Pemiscot,36.21109084510274,-89.78584689777566,36.18750000025,-89.81249999990001,1658.0
MO,Perry,37.7071110936958,-89.82435816773486,37.68750000025,-89.81249999990001,982.0
MO,Pettis,38.72825070068326,-93.28511824694223,38.68750000025,-93.31249999990001,1272.0
MO,Phelps,37.877128151710835,-91.79239641726804,37.93750000025,-91.81249999990001,914.0
MO,Pike,39.343805581827986,-91.1713598947228,39.31250000025,-91.18749999990001,522.0
MO,Platte,39.38036719529103,-94.7736036521717,39.43750000025,-94.81249999990001,1782.0
MO,Polk,37.61650592025688,-93.40053073379057,37.56250000025,-93.43749999990001,1957.0
MO,Pulaski,37.82461472211635,-92.20764699661292,37.81250000025,-92.18749999990001,823.0
MO,Putnam,40.478921335356134,-93.0161349094386,40.43750000025,-93.06249999990001,2037.0
MO,Ralls,39.5276388191684,-91.52194260299443,39.56250000025,-91.56249999990001,1274.0
MO,Randolph,39.440163518296,-92.49709229638279,39.43750000025,-92.43749999990001,158.0
MO,Ray,39.35237118049384,-93.98990673026101,39.31250000025,-93.93749999990001,952.0
MO,Reynolds,37.362345275307376,-90.969078054051,37.31250000025,-90.93749999990001,674.0
MO,Ripley,36.652814814325964,-90.86388548944021,36.68750000025,-90.81249999990001,2421.0
MO,St. Charles,38.781892196074665,-90.6752364455468,38.81250000025,-90.68749999990001,0.0
MO,St. Clair,38.03714887327927,-93.7759911554577,38.06250000025,-93.81249999990001,781.0
MO,Ste. Genevieve,37.89395895361625,-90.19518714390342,37.93750000025,-90.18749999990001,2356.0
MO,St. Francois,37.81037757534882,-90.47290154522453,37.81250000025,-90.43749999990001,237.0
MO,St. Louis,38.64069751030684,-90.44297778867299,38.68750000025,-90.43749999990001,0.0
MO,Saline,39.136560992413024,-93.20222710298108,39.18750000025,-93.18749999990001,432.0
MO,Schuyler,40.47026249226044,-92.52093303063286,40.43750000025,-92.56249999990001,860.0
MO,Scotland,40.45261562733775,-92.1470624764689,40.43750000025,-92.18749999990001,861.0
MO,Scott,37.05298017427233,-89.56856935260828,37.06250000025,-89.56249999990001,2606.0
MO,Shannon,37.15739255206399,-91.40050276992383,37.18750000025,-91.43749999990001,319.0
MO,Shelby,39.797797607886174,-92.07657057693045,39.81250000025,-92.06249999990001,808.0
MO,Stoddard,36.855517337344594,-89.9443742881185,36.81250000025,-89.93749999990001,668.0
MO,Stone,36.7468886096869,-93.45594789148738,36.68750000025,-93.43749999990001,1062.0
MO,Sullivan,40.21066833847165,-93.11147743935463,40.18750000025,-93.06249999990001,1710.0
MO,Taney,36.654734076376485,-93.04098364324332,36.68750000025,-93.06249999990001,930.0
MO,Texas,37.31732005757015,-91.96505694988008,37.31250000025,-91.93749999990001,1282.0
MO,Vernon,37.85062467485199,-94.3424159662253,37.81250000025,-94.31249999990001,364.0
MO,Warren,38.764626287156204,-91.16070576213771,38.81250000025,-91.18749999990001,2183.0
MO,Washington,37.961697286247315,-90.87743837380869,37.93750000025,-90.93749999990001,982.0
MO,Wayne,37.11265038081111,-90.4614229758814,37.06250000025,-90.43749999990001,925.0
MO,Webster,37.28090508818299,-92.87588844192192,37.31250000025,-92.93749999990001,1767.0
MO,Worth,40.479131581555485,-94.42217213088279,40.43750000025,-94.43749999990001,615.0
MO,Wright,37.27013665801954,-92.46871315366533,37.31250000025,-92.43749999990001,1036.0
MO,St. Louis City,38.63576137174182,-90.24504461041576,38.68750000025,-90.18749999990001,0.0
MO,Dade,37.43204140823774,-93.8502480229791,37.43750000025,-93.81249999990001,1320.0
MO,Dallas,37.68040070381379,-93.02364600099845,37.68750000025,-93.06249999990001,3616.0
MO,Adair,40.190591286010324,-92.60069441013347,40.18750000025,-92.56249999990001,198.0
MO,Andrew,39.983438575176585,-94.8020500938127,39.93750000025,-94.81249999990001,1002.0
MO,Atchison,40.430705235039404,-95.42698112293179,40.43750000025,-95.43749999990001,746.0
MO,Audrain,39.215757495510154,-91.84161934079451,39.18750000025,-91.81249999990001,396.0
MO,Lawrence,37.10634244727778,-93.83290459924407,37.06250000025,-93.81249999990001,1685.0
WI,Milwaukee,43.00705325945143,-87.96672163319047,43.06250000025,-87.93749999990001,0.0
WI,Racine,42.747659945498015,-88.05511757753322,42.68750000025,-88.06249999990001,2069.0
WI,Adams,43.969564785845016,-89.77064319111263,43.93750000025,-89.81249999990001,2541.0
WI,Barron,45.42377404498005,-91.84835940114118,45.43750000025,-91.81249999990001,1278.0
WI,Buffalo,44.37986844744209,-91.75447094462304,44.43750000025,-91.81249999990001,924.0
WI,Burnett,45.86270252079555,-92.36754819623008,45.81250000025,-92.31249999990001,1655.0
WI,Calumet,44.08166277242287,-88.21804400844292,44.06250000025,-88.18749999990001,6452.0
WI,Chippewa,45.069417466173185,-91.27989950986533,45.06250000025,-91.31249999990001,1954.0
WI,Clark,44.734749113012626,-90.61208320935674,44.68750000025,-90.56249999990001,1887.0
WI,Columbia,43.46653326857995,-89.33376459571592,43.43750000025,-89.31249999990001,3110.0
WI,Crawford,43.239456999856856,-90.93102936080498,43.18750000025,-90.93749999990001,846.0
WI,Dane,43.06736160887646,-89.41833309799924,43.06250000025,-89.43749999990001,0.0
WI,Dodge,43.41635439616715,-88.70751383777402,43.43750000025,-88.68749999990001,2012.0
WI,Dunn,44.94658052685538,-91.89644068480834,44.93750000025,-91.93749999990001,1024.0
WI,Eau Claire,44.72676745074958,-91.28605421604318,44.68750000025,-91.31249999990001,2439.0
WI,Florence,45.84844446874983,-88.39821536718094,45.81250000025,-88.43749999990001,431.0
WI,Fond du Lac,43.75363149737681,-88.48825285239361,43.81250000025,-88.43749999990001,578.0
WI,Forest,45.66726708202335,-88.77041308847522,45.68750000025,-88.81249999990001,355.0
WI,Grant,42.86748467553971,-90.70622359033459,42.81250000025,-90.68749999990001,1519.0
WI,Green,42.679945627256025,-89.6022006543012,42.68750000025,-89.56249999990001,2057.0
WI,Green Lake,43.80027512197911,-89.04497078915956,43.81250000025,-89.06249999990001,2140.0
WI,Iowa,43.000483783448516,-90.13542385783495,43.06250000025,-90.18749999990001,1193.0
WI,Jackson,44.3191284961535,-90.80523864634281,44.31250000025,-90.81249999990001,551.0
WI,Jefferson,43.02087925024768,-88.77586053706827,43.06250000025,-88.81249999990001,2556.0
WI,Juneau,43.924467185103424,-90.1140323825151,43.93750000025,-90.06249999990001,2313.0
WI,La Crosse,43.90652605856899,-91.11522522627257,43.93750000025,-91.06249999990001,1793.0
WI,Lafayette,42.66048677050032,-90.13172335520534,42.68750000025,-90.18749999990001,1784.0
WI,Langlade,45.2623671214388,-89.07191687446175,45.31250000025,-89.06249999990001,552.0
WI,Lincoln,45.337504843534255,-89.73464248363665,45.31250000025,-89.68749999990001,1934.0
WI,Marathon,44.89829178180663,-89.75898258752203,44.93750000025,-89.81249999990001,2353.0
WI,Marquette,43.819607485586545,-89.39876859174012,43.81250000025,-89.43749999990001,1914.0
WI,Waushara,44.113131784518195,-89.24294835364628,44.06250000025,-89.18749999990001,2946.0
WI,Menominee,45.00437309818363,-88.70999425202871,45.06250000025,-88.68749999990001,733.0
WI,Monroe,43.94574206922764,-90.61787504858142,43.93750000025,-90.56249999990001,1102.0
